,Murder     and non- negligent man- slaughter,Forcible rape,Robbery,Aggra- vated assault,Burglary,Larceny- theft,Motor vehicle theft,Total
North Little Rock city,4,60,205,525,"1,121","3,979",538,"6,432"
Pine Bluff city,16,41,209,459,"1,681","2,727",412,"5,545"
Rogers city,1,36,24,34,257,"2,278",98,"2,728"
Springdale city, -,57,15,126,267,"1,984",147,"2,596"
Texarkana city,1,6,45,403,357,"1,264",111,"2,187"
West Memphis city,11,32,131,349,"1,043","1,038",170,"2,774"
CALIFORNIA,"2,503","9,392","63,622","114,661","250,521","692,467","257,543","1,390,709"
Alameda city, -,11,88,133,367,"1,285",307,"2,191"
Alhambra city,1,12,154,154,575,"1,472",560,"2,928"
Aliso Viejo city,2,3,8,19,115,394,44,585
Anaheim city,10,81,554,971,"1,929","5,537","2,046","11,128"
Antioch city,10,28,232,283,733,"1,269",918,"3,473"
Apple Valley town,4,20,43,186,603,"1,227",394,"2,477"
Arcadia city,2,7,61,66,433,"1,254",162,"1,985"
Atascadero city, -,12,10,91,118,431,58,720
Azusa city, -,15,47,136,269,738,290,"1,495"
Bakersfield city,32,45,530,"1,099","3,746","10,034","2,658","18,144"
Baldwin Park city,5,14,100,234,439,"1,036",628,"2,456"
Bell city,5,7,65,89,132,133,193,624
Bellflower city,9,14,247,267,477,"1,170",853,"3,037"
Bell Gardens city,5,25,73,181,251,316,377,"1,228"
Belmont city, -,1,9, -,94,478,64,646
Benicia city, -,3,14,36,160,303,87,603
Berkeley city,3,18,354,195,"1,229","5,503","1,244","8,546"
Beverly Hills city,1,10,58,65,314,700,38,"1,186"
Brea city,1,2,40,44,277,"1,179",166,"1,709"
Buena Park city,2,14,124,166,449,"1,042",435,"2,232"
Burbank city,3,13,67,163,586,"1,690",495,"3,017"
Burlingame city, -,3,28,37,145,697,97,"1,007"
Calexico city, -,4,25,109,396,504,413,"1,451"
Camarillo city,1,15,30,48,259,710,77,"1,140"
Campbell city, -,5,13,53,225,872,120,"1,288"
Carlsbad city,2,11,79,164,517,"1,648",246,"2,667"
Carson city,7,19,221,399,543,"1,270",589,"3,048"
Cathedral City city,3,10,44,195,559,"1,023",497,"2,331"
Ceres city,2,8,38,122,280,"1,294",655,"2,399"
Cerritos city,1,5,97,72,453,"1,287",280,"2,195"
Chico city,3,32,79,139,719,"1,462",490,"2,924"
Chino city,2,9,75,124,521,"1,576",442,"2,749"
Chino Hills city,3,8,18,71,259,705,128,"1,192"
Chula Vista city,5,66,338,518,"1,235","3,758","2,496","8,416"
Citrus Heights city,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0
Claremont city,3,2,30,25,310,731,75,"1,176"
Clovis city,4,21,47,79,642,"2,222",422,"3,437"
Colton city,5,17,105,140,472,983,486,"2,208"
Compton city,65,40,474,"1,152",638,971,"1,006","4,346"
Concord city,1,14,197,296,"1,114","3,972","1,162","6,756"
Corona city,4,33,140,144,926,"2,587",935,"4,769"
Costa Mesa city,3,30,119,154,596,"2,692",555,"4,149"
Covina city, -,9,85,119,468,"1,359",309,"2,349"
Culver City city,1,9,130,43,246,898,138,"1,465"
Cupertino city, -, -,10,46,250,632,51,989
Cypress city,1,5,28,33,174,707,122,"1,070"
Daly City city,2,20,122,142,251,"1,439",468,"2,444"
Dana Point city, -,7,9,45,120,371,38,590
Danville town, -,1,9,31,119,477,25,662
Davis city, -,26,45,161,483,"1,239",187,"2,141"
Delano city,5,5,48,151,669,845,607,"2,330"
Diamond Bar city,2,3,38,64,282,463,154,"1,006"
Downey city,7,30,250,161,579,"1,851","1,102","3,980"
Dublin city, -,1,15,63,170,499,138,886
East Palo Alto city,15,21,108,285,387,432,306,"1,554"
El Cajon city,2,40,171,305,769,"2,140","1,136","4,563"
El Centro city, -,18,43,287,758,"1,097",260,"2,463"
Elk Grove city,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0
El Monte city,4,21,241,445,702,"1,650","1,135","4,198"
Encinitas city,3,11,45,112,324,724,186,"1,405"
Escondido city,2,31,186,473,801,"3,031","1,079","5,603"
Eureka city,1,25,63,81,503,"1,000",348,"2,021"
Fairfield city,9,38,218,320,748,"2,876",836,"5,045"
Folsom city, -,11,18,60,305,"1,238",173,"1,805"
Fontana city,10,50,232,442,782,"1,496","1,403","4,415"
Foster City city, -, -,7,22,80,308,33,450
Fountain Valley city,1,6,30,35,303,884,196,"1,455"
Fremont city,1,40,188,292,"1,009","3,035",759,"5,324"
Fresno city,49,149,"1,275","2,424","4,170","16,088","5,288","29,443"
Fullerton city, -,37,149,204,805,"3,152",627,"4,974"
Gardena city,3,16,295,182,453,715,426,"2,090"
Garden Grove city,6,22,229,488,803,"2,591","1,111","5,250"
Gilroy city, -,13,67,123,246,"1,309",180,"1,938"
Glendale city,19,14,136,181,723,"2,453",614,"4,140"
Glendora city, -,5,24,27,183,954,128,"1,321"
Goleta city, -,7,12,24,141,325,20,529
Hanford city, -,17,51,117,224,"1,407",224,"2,040"
