,Murder     and non- negligent man- slaughter,Forcible rape,Robbery,Aggra- vated assault,Burglary,Larceny- theft,Motor vehicle theft,Total
Parkersburg city,3,12,30,95,347,"1,191",107,"1,785"
Wheeling city, -,20,32,86,227,645,89,"1,099"
WISCONSIN,194,"1,142","4,550","7,485","24,406","110,323","12,546","160,646"
Appleton city, -,27,16,130,403,"1,635",45,"2,256"
Beloit city,4,13,48,85,306,"1,444",109,"2,009"
Brookfield city, -, -,5,1,20,161,12,199
Eau Claire city, -,7,24,85,329,"1,522",78,"2,045"
Fond du Lac city, -,3,11,61,138,"1,015",42,"1,270"
Franklin city, -,3,5,16,99,464,26,613
Green Bay city,5,58,72,360,605,"2,099",227,"3,426"
Greenfield city, -,3,21,10,159,893,68,"1,154"
Janesville city, -,34,64,72,515,"2,317",136,"3,138"
Kenosha city,3,35,124,87,575,"2,130",194,"3,148"
La Crosse city,1,16,20,62,213,"1,348",66,"1,726"
Madison city,2,80,329,428,"1,449","5,682",606,"8,576"
Manitowoc city,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0
Menomonee Falls village, -,6,7,4,60,399,28,504
Milwaukee city,121,158,"2,927","2,804","4,570","21,611","6,631","38,822"
New Berlin city, -, -,5,11,90,437,20,563
Oak Creek city,1,10,9,10,127,855,36,"1,048"
Oshkosh city, -,12,17,154,297,"1,496",60,"2,036"
Racine city,16,31,242,102,982,"3,235",340,"4,948"
Sheboygan city, -,25,10,33,266,"1,746",86,"2,166"
Superior city, -,16,12,36,299,"1,177",89,"1,629"
Waukesha city, -,27,19,49,266,959,97,"1,417"
Wausau city, -,23,21,73,251,826,48,"1,242"
Wauwatosa city, -,15,57,29,275,"1,722",155,"2,253"
West Allis city,4,18,81,87,476,"1,960",223,"2,849"
West Bend city, -,2,8,14,57,637,19,737
WYOMING,14,122,78,958,"2,426","12,905",739,"17,242"
Casper city,2,7,14,112,525,"2,077",97,"2,834"
Cheyenne city,4,12,17,64,272,"2,222",91,"2,682"
Laramie city,2, -,1,23,91,700,33,850
